Time_s,Signal,Predicted,EstFreq_Hz,PhaseCorr
0,0.005376671395461,0,0.6,0
0.01,0.0810666105405322,0.00537208864529545,0.6,0
0.02,0.102494348986579,0.081012807805744,0.6,0
0.03,0.19544174621898,0.102497998767373,0.6,0
0.04,0.250884766883841,0.196307545262555,0.6,0
0.05,0.294398882722635,0.253313641218857,0.6,0
0.06,0.361586498154832,0.29869008371058,0.6,0
0.07,0.4262354884843,0.368957258398121,0.6,0
0.08,0.513698989196172,0.436339707352078,0.6,0
0.09,0.558720360151494,0.526418182943932,0.6,0
0.1,0.568437821910811,0.5730362300487,0.6,0
0.11,0.660799983662265,0.583246450288595,0.6,0
0.12,0.683635673739098,0.672642852088239,0.6,0
0.13,0.718922818323294,0.698762802494344,0.6,0
0.14,0.766948645561481,0.73250397848625,0.6,0
0.15,0.794922639917547,0.77767257412317,0.6,0
0.16,0.829684735089973,0.806852417474714,0.6,0
0.17,0.876432354366364,0.838945242912581,0.6,0
0.18,0.902776216853749,0.879816015271626,0.6,0
0.19,0.926449423586488,0.908329125710894,0.6,0
0.2,0.938939306848335,0.9318422669972,0.6,0
0.21,0.936380130912942,0.947388247420914,0.6,0
0.22,0.968085297553928,0.952446432028084,0.6,0
0.23,0.985858830086217,0.969311361915071,0.6,0
0.24,0.979248170624077,0.984947867288342,0.6,0
0.25,0.985656842127511,0.99043120995638,0.6,0
0.26,0.979681313208919,0.995396019122323,0.6,0
0.27,0.962651588158147,0.995945892899118,0.6,0
0.28,0.958103410136723,0.990681648946807,0.6,0
0.29,0.933024801887876,0.985376393338514,0.6,0
0.3,0.931832504708412,0.974797873374142,0.6,0
0.31,0.889924890419435,0.966411021591058,0.6,0
0.32,0.865642251374979,0.950613130270889,0.6,0
0.33,0.839765516023638,0.933403250056676,0.6,0
0.34,0.786660471739998,0.914905242961535,0.6,0
0.35,0.795574994541017,0.890812298171761,0.6,0
0.36,0.746520026038432,0.872676005072959,0.6,0
0.37,0.694940386472473,0.850101376881727,0.6,0
0.38,0.67272534292812,0.823890441883311,0.6,0
0.39,0.595927809979172,0.798775542991233,0.6,0
0.4,0.563715438431237,0.767683190695434,0.6,0
0.41,0.511887696011334,0.737102402909735,0.6,0
0.42,0.465131107167555,0.704630041807235,0.6,0
0.43,0.410987419011229,0.67103040930401,0.6,0
0.44,0.343629448361353,0.635583097558867,0.6,0
0.45,0.29511895550412,0.597133984469056,0.6,0
0.46,0.23586048762282,0.55778878149248,0.6,0
0.47,0.185055223665444,0.516542801180839,0.6,0
0.48,0.13039199624421,0.474297235339156,0.6,0
0.49,0.0708806807959218,0.430737081742002,0.6,0
0.5,-0.00863652821988703,0.385516165681134,0.6,0
0.51,-0.058894900509052,0.337048863263653,0.6,0
0.52,-0.13112362703351,0.288081933879237,0.6,0
0.53,-0.188843700880627,0.23681833087111,0.6,0
0.54,-0.235685276943327,0.184637341914044,0.6,0
0.55,-0.277153692558266,0.132486788985492,0.6,0
0.56,-0.355772830583046,0.080791630009448,0.6,0
0.57,-0.398474805543847,0.0266326140817188,0.6,0
0.58,-0.45686267326628,-0.0270050257070885,0.6,0
0.59,-0.493953985334309,-0.0813234605032547,0.6,0
0.6,-0.564445946923443,-0.134639144204598,0.6,0
0.61,-0.599377728504662,-0.189454389405714,0.6,0
0.62,-0.637868839853619,-0.243012956356162,0.6,0
0.63,-0.673454233062651,-0.295606935542665,0.6,0
0.64,-0.707303154973286,-0.347037085885064,0.6,0
0.65,-0.757244191416389,-0.397197070125898,0.6,0
0.66,-0.805317333752127,-0.447226200403777,0.6,0
0.67,-0.826940820448982,-0.496932856551382,0.6,0
0.68,-0.855959967875578,-0.54446341703726,0.6,0
0.69,-0.844280628548838,-0.590383110752343,0.6,0
0.7,-0.892915236989551,-0.632011413484489,0.6,0
0.71,-0.894717536110759,-0.673517637854673,0.6,0
0.72,-0.915972820470376,-0.711792181610557,0.6,0
0.73,-0.913384545568523,-0.748221515424859,0.6,0
0.74,-0.93448766475404,-0.781348833673759,0.6,0
0.75,-0.94176617602194,-0.812808129353028,0.6,0
0.76,-0.939211105737676,-0.841798863686958,0.6,0
0.77,-0.913706996462314,-0.867835566116686,0.6,0
0.78,-0.91035451513748,-0.889702604795064,0.6,0
0.79,-0.896970045906157,-0.908946658557975,0.6,0
0.8,-0.863742715023159,-0.925134605317533,0.6,0
0.81,-0.85451816599984,-0.937327869536608,0.6,0
0.82,-0.83161368037217,-0.947121631506949,0.6,0
0.83,-0.790632867395288,-0.953919220317112,0.6,0
0.84,-0.784346144664004,-0.956955020082866,0.6,0
0.85,-0.736125803464438,-0.958310991582682,0.6,0
0.86,-0.698667624999069,-0.955945821093986,0.6,0
0.87,-0.670665995596124,-0.95067385737917,0.6,0
0.88,-0.624724757019634,-0.943174363241348,0.6,0
0.89,-0.594802954826576,-0.932748237359701,0.6,0
0.9,-0.548674800101594,-0.920370098385306,0.6,0
0.91,-0.488170606630048,-0.905438778983073,0.6,0
0.92,-0.432187466638192,-0.887499573870588,0.6,0
0.93,-0.362112410508627,-0.866982100749932,0.6,0
0.94,-0.341766341373469,-0.843476089274434,0.6,0
0.95,-0.27913838072951,-0.819307675794073,0.6,0
0.96,-0.226750757903167,-0.792777994302327,0.6,0
0.97,-0.189389266667933,-0.764474323349878,0.6,0
0.98,-0.118022900354359,-0.735118748028493,0.6,0
0.99,-0.0748188436112369,-0.703456713014071,0.6,0
1,0.00840375529753883,-0.670716607372315,0.6,0
1.01,0.0478781039313207,-0.635456299999183,0.6,0
1.02,0.114180542046177,-0.599442127364847,0.6,0
1.03,0.163596448914302,-0.561726780233011,0.6,0
1.04,0.227160825472286,-0.522996518082519,0.6,0
1.05,0.27221231231033,-0.482780398422297,0.6,0
1.06,0.335999949458263,-0.441778973756203,0.6,0
1.07,0.389967255734887,-0.399344760162855,0.6,0
1.08,0.44955427038527,-0.355846109482546,0.6,0
1.09,0.478550950210674,-0.311093616359459,0.6,0
1.1,0.50517454053308,-0.266150983563283,0.6,0
1.11,0.562059540449678,-0.221076054053719,0.6,0
1.12,0.62556135232408,-0.174793980144907,0.6,0
1.13,0.640357257901457,-0.127065358376195,0.6,0
1.14,0.697106109676857,-0.0795946776880701,0.6,0
1.15,0.722370856631124,-0.0308801893182016,0.6,0
1.16,0.766220064224888,0.0179564219673495,0.6,0
1.17,0.759940447243557,0.0675881695199536,0.6,0
1.18,0.802139247565729,0.116161623163461,0.6,0
1.19,0.813384362284025,0.165455124463907,0.6,0
1.2,0.87259154108249,0.214269659488594,0.6,0
1.21,0.86644976239207,0.264417405254721,0.6,0
1.22,0.883259677162596,0.313294028258605,0.6,0
1.23,0.866709176884901,0.361738628868757,0.6,0
1.24,0.876950536744693,0.408306227687652,0.6,0
1.25,0.879772208492094,0.454010710828826,0.6,0
1.26,0.890859427447931,0.498448805986115,0.6,0
1.27,0.871010105198455,0.541887446657138,0.6,0
1.28,0.871284171425971,0.582864014262919,0.6,0
1.29,0.830841219098798,0.622181786289411,0.6,0
1.3,0.831579881528256,0.657876506078441,0.6,0
1.31,0.807380594380449,0.69178051371567,0.6,0
1.32,0.777166469304816,0.722644476941722,0.6,0
1.33,0.772255654869192,0.750117726416996,0.6,0
1.34,0.741260655547912,0.775404121346951,0.6,0
1.35,0.707185819633865,0.797188158453899,0.6,0
1.36,0.659200027757558,0.815312063376369,0.6,0
1.37,0.646913861679277,0.829085976612109,0.6,0
1.38,0.599809882518886,0.840394706712142,0.6,0
1.39,0.551713561587665,0.847484397446948,0.6,0
1.4,0.511224847653943,0.850390856449592,0.6,0
1.41,0.462739890010816,0.8496241775215,0.6,0
1.42,0.400477604356369,0.844882524392116,0.6,0
1.43,0.366189423699513,0.835578058158835,0.6,0
1.44,0.310440874813762,0.823375270999408,0.6,0
1.45,0.257514526032733,0.807279690319368,0.6,0
1.46,0.203343265140989,0.787629727455957,0.6,0
1.47,0.15642958926905,0.76454958789019,0.6,0
1.48,0.0880649230033238,0.738623331858304,0.6,0
1.49,0.0637406665612326,0.708896389565125,0.6,0
1.5,0.00520060101455489,0.677931656197883,0.6,0
1.51,-0.0541905622313208,0.644059289600745,0.6,0
1.52,-0.108007489679411,0.607439526632941,0.6,0
1.53,-0.168779111203743,0.568567565893414,0.6,0
1.54,-0.203008029353641,0.527268602395349,0.6,0
1.55,-0.26597901887815,0.485110158031677,0.6,0
1.56,-0.322097645888467,0.440746504022407,0.6,0
1.57,-0.35040143097692,0.3947166673678,0.6,0
1.58,-0.413592980154791,0.348589262648467,0.6,0
1.59,-0.462948595462391,0.300710261095491,0.6,0
1.6,-0.503815087964322,0.251935367579292,0.6,0
1.61,-0.551113250842926,0.202808452694578,0.6,0
1.62,-0.593368348342962,0.153116574536399,0.6,0
1.63,-0.594065325566727,0.103210691216277,0.6,0
1.64,-0.637411991630124,0.0551508759609381,0.6,0
1.65,-0.682885064438264,0.00691198111441619,0.6,0
1.66,-0.727755973310951,-0.0415221280325942,0.6,0
