Time_s,Signal,Predicted,EstFreq_Hz,PhaseCorr
0,0,0,0.6,0
0.01,0.0501940989753769,0,0.6,0
0.02,0.100161192011193,0.0501622178528828,0.6,0
0.03,0.149775587693037,0.100236994014703,0.6,0
0.04,0.198912736144082,0.150353089346735,0.6,0
0.05,0.247449541178051,0.20077701674796,0.6,0
0.06,0.295264668158565,0.251410120340484,0.6,0
0.07,0.342238846796257,0.301504086750535,0.6,0
0.08,0.388255168129312,0.350378301722615,0.6,0
0.09,0.43319937494934,0.39776388867021,0.6,0
0.1,0.476960144952454,0.443581329284143,0.6,0
0.11,0.51942936591527,0.487780596326999,0.6,0
0.12,0.560502402217062,0.530299373404906,0.6,0
0.13,0.600078352052505,0.571060899202087,0.6,0
0.14,0.638060294704274,0.609980884174235,0.6,0
0.15,0.674355527271074,0.64697637437587,0.6,0
0.16,0.708875790274571,0.681974648059302,0.6,0
0.17,0.741537481597861,0.714920364612903,0.6,0
0.18,0.772261858238691,0.745778944395285,0.6,0
0.19,0.800975225392457,0.774535219588575,0.6,0
0.2,0.82760911241292,0.80118842351035,0.6,0
0.21,0.852100435232658,0.825745972500958,0.6,0
0.22,0.874391644860241,0.84821828077529,0.6,0
0.23,0.894430861607085,0.868615626810625,0.6,0
0.24,0.91217199473361,0.886946969649632,0.6,0
0.25,0.927574847241799,0.903220102766449,0.6,0
0.26,0.940605205579259,0.917442510813661,0.6,0
0.27,0.951234914058496,0.929622472099701,0.6,0
0.28,0.959441933834035,0.939770138864015,0.6,0
0.29,0.965210386319376,0.947898461921065,0.6,0
0.3,0.968530580965246,0.95402390367336,0.6,0
0.31,0.969399027360273,0.958166920602365,0.6,0
0.32,0.967818431654861,0.960352209592025,0.6,0
0.33,0.963797677348609,0.960608713211347,0.6,0
0.34,0.957351790521022,0.95896937428939,0.6,0
0.35,0.948501889624376,0.95547062386992,0.6,0
0.36,0.937275119996327,0.950151581678209,0.6,0
0.37,0.923704573288126,0.943052946909012,0.6,0
0.38,0.907829192041988,0.934215561958893,0.6,0
0.39,0.88969365968818,0.923678645600266,0.6,0
0.4,0.869348276268677,0.911477718281807,0.6,0
0.41,0.846848820229638,0.897642283811486,0.6,0
0.42,0.822256396659464,0.882193390444241,0.6,0
0.43,0.795637272382636,0.865141269168059,0.6,0
