Time_s,Signal,Predicted,EstFreq_Hz,PhaseCorr
0,0.005376671395461,0,0.6,0
0.01,0.0685329491213278,0.00537208864529545,0.6,0
0.02,0.077572723401157,0.0684871072266217,0.6,0
0.03,0.158397320896719,0.0775576120801913,0.6,0
0.04,0.202100388542672,0.159121747757193,0.6,0
0.05,0.234372658214998,0.204080460544565,0.6,0
0.06,0.290928747935508,0.237730028360214,0.6,0
0.07,0.345665091461643,0.296861482305163,0.6,0
0.08,0.424039137526569,0.353936409404711,0.6,0
0.09,0.460893745248189,0.434664839001755,0.6,0
0.1,0.463461275550889,0.472969740917529,0.6,0
0.11,0.549778600578589,0.475969993601578,0.6,0
0.12,0.567756444466523,0.559320005835071,0.6,0
0.13,0.599447803320609,0.580609684327416,0.6,0
0.14,0.645207723742535,0.61077772112609,0.6,0
0.15,0.672305866688076,0.653656616368364,0.6,0
0.16,0.707634346792408,0.681840151595334,0.6,0
0.17,0.756434457675716,0.714224270861442,0.6,0
0.18,0.786352203136696,0.75665525130598,0.6,0
0.19,0.815147149526753,0.78796998404943,0.6,0
0.2,0.834324083749001,0.815493672818586,0.6,0
0.21,0.840025566005807,0.836224107908448,0.6,0
0.22,0.881564031373529,0.847603980636867,0.6,0
0.23,0.910733214498732,0.871889223693882,0.6,0
0.24,0.917060932436728,0.89600330050928,0.6,0
0.25,0.937921777340977,0.910976445733717,0.6,0
0.26,0.947874056913092,0.926393877501744,0.6,0
0.27,0.948200504810636,0.938304956286411,0.6,0
0.28,0.962380648505002,0.945251294693717,0.6,0
0.29,0.95733755828179,0.952941977388506,0.6,0
0.3,0.977414537282822,0.95607634238756,0.6,0
0.31,0.957928326290581,0.962047222509635,0.6,0
0.32,0.957129727073181,0.961177086220478,0.6,0
0.33,0.95570269040436,0.959388678254384,0.6,0
0.34,0.927908948901073,0.956729600222719,0.6,0
0.35,0.962885692552527,0.94881864741422,0.6,0
0.36,0.940527025390889,0.947136994783584,0.6,0
0.37,0.916155290096429,0.941225605493172,0.6,0
0.38,0.92153217744294,0.931831428465128,0.6,0
0.39,0.872578495499643,0.923643430149563,0.6,0
0.4,0.868325851807822,0.90955914911144,0.6,0
0.41,0.844434349813564,0.896055474387594,0.6,0
0.42,0.825448464051119,0.880735839150311,0.6,0
0.43,0.79876585834901,0.864390688899281,0.6,0
0.44,0.758413899178678,0.846337858182652,0.6,0
0.45,0.736308206850748,0.825444860635149,0.6,0
0.46,0.702707184551051,0.80381965672771,0.6,0
0.47,0.676666553977624,0.780442444400439,0.6,0
0.48,0.645731070136564,0.756183463452207,0.6,0
0.49,0.608768602471916,0.730682297270352,0.6,0
0.5,0.550482099048289,0.703534292668408,0.6,0
0.51,0.520000484312379,0.673083768928063,0.6,0
0.52,0.465962872888511,0.641997418100448,0.6,0
0.53,0.424721346537952,0.608389720785009,0.6,0
0.54,0.39252423630234,0.573544667785034,0.6,0
0.55,0.363750724795915,0.538309457647322,0.6,0
0.56,0.295768084349116,0.50300446573184,0.6,0
0.57,0.26154256763938,0.464603110882353,0.6,0
0.58,0.209377247758782,0.425981600977367,0.6,0
0.59,0.17616898384272,0.385827957622782,0.6,0
0.6,0.107143751299771,0.345715946833414,0.6,0
0.61,0.0711947838604171,0.303034255307879,0.6,0
0.62,0.0291446168617422,0.260431646737889,0.6,0
0.63,-0.0125896369308982,0.217510863531085,0.6,0
0.64,-0.0552148012288404,0.174369147604525,0.6,0
0.65,-0.116586383921236,0.131014959354578,0.6,0
0.66,-0.178760390575864,0.0862162850589128,0.6,0
0.67,-0.217159957812607,0.0400783557921317,0.6,0
0.68,-0.265624021873433,-0.00562373310272501,0.6,0
0.69,-0.276040661593656,-0.051525194481908,0.6,0
0.7,-0.349393076693505,-0.0950064142657887,0.6,0
0.71,-0.378494294886434,-0.140286784768284,0.6,0
0.72,-0.429577444506785,-0.184294624727846,0.6,0
0.73,-0.459282442006643,-0.228441241412675,0.6,0
0.74,-0.515069455852696,-0.271281024561545,0.6,0
0.75,-0.559336628867715,-0.31444529407999,0.6,0
0.76,-0.595978285612457,-0.357117029852225,0.6,0
0.77,-0.611771691340288,-0.398780776570863,0.6,0
0.78,-0.651699977942016,-0.438177922296611,0.6,0
0.79,-0.683452100118981,-0.476799843133632,0.6,0
0.8,-0.69708026800728,-0.514146594168774,0.6,0
0.81,-0.736284172978356,-0.549202158822917,0.6,0
0.82,-0.763226600402638,-0.583474633231212,0.6,0
0.83,-0.773348650899925,-0.616271645667046,0.6,0
0.84,-0.819250790126293,-0.64672432252761,0.6,0
0.85,-0.824128518790305,-0.676804035450313,0.6,0
0.86,-0.840494626773822,-0.704352510798097,0.6,0
0.87,-0.8668549770556,-0.730062975260842,0.6,0
0.88,-0.875620053004925,-0.754490672963174,0.6,0
0.89,-0.900551429316284,-0.776810843020808,0.6,0
0.9,-0.909222479124273,-0.797872038888902,0.6,0
0.91,-0.903260076463415,-0.816947826944071,0.6,0
0.92,-0.901356054212174,-0.833460139393018,0.6,0
0.93,-0.8846911598583,-0.847715347963835,0.6,0
0.94,-0.916879796847536,-0.859182504185299,0.6,0
0.95,-0.905705184462757,-0.870070436737007,0.6,0
0.96,-0.903485065820007,-0.878567075763689,0.6,0
0.97,-0.91480298401164,-0.885151252860444,0.6,0
0.98,-0.890428734446102,-0.890441923739725,0.6,0
0.99,-0.892334168247612,-0.893087176572993,0.6,0
1,-0.852147767313242,-0.894224153044108,0.6,0
1.01,-0.853451115491137,-0.892325786999383,0.6,0
1.02,-0.825488897449371,-0.889079848533965,0.6,0
1.03,-0.811803748041893,-0.883466727135272,0.6,0
1.04,-0.78119640516665,-0.876106371103407,0.6,0
1.05,-0.766172402055191,-0.866467061388304,0.6,0
1.06,-0.729335990075127,-0.855193467048459,0.6,0
1.07,-0.699106711414003,-0.841586285392699,0.6,0
1.08,-0.65991797616467,-0.825965103748832,0.6,0
