Time_s,Signal,Predicted,EstFreq_Hz,PhaseCorr
0,-0.011676106271596,0,1,0
0.01,0.0568389964415777,-0.0116587859612931,1,0
0.02,0.101087186361906,0.0568724985531163,1,0
0.03,0.159817511400832,0.101444931612597,1,0
0.04,0.204483545848165,0.161739313142033,1,0
0.05,0.247124788687666,0.208585325847075,1,0
0.06,0.285521839495653,0.253422769001581,1,0
0.07,0.336109510089075,0.293244564482641,1,0
0.08,0.389135653864682,0.345125073432236,1,0
0.09,0.422658203878376,0.398871743769506,1,0
0.1,0.474638101300117,0.432290525286525,1,0
0.11,0.528881688847338,0.48328745795108,1,0
0.12,0.574665440623222,0.536269374422081,1,0
0.13,0.611430984161985,0.580622761078343,1,0
0.14,0.650154214532866,0.615675937841098,1,0
0.15,0.69685734649351,0.651165977551498,1,0
0.16,0.73223319870781,0.692371980906831,1,0
0.17,0.744157911037888,0.724455677817233,1,0
0.18,0.769059101261192,0.737769154040335,1,0
0.19,0.819073868416829,0.754742879092886,1,0
0.2,0.861303503227594,0.785388465507141,1,0
0.21,0.850844002180256,0.814591904162236,1,0
0.22,0.883196723526485,0.819502321302902,1,0
0.23,0.915491432450913,0.830028977248791,1,0
0.24,0.929997907699904,0.841930455578768,1,0
0.25,0.945001025005664,0.848698544997094,1,0
0.26,0.965095380167262,0.852646075353658,1,0
0.27,0.97355045440602,0.856504970108375,1,0
0.28,0.978884105238302,0.858307715002146,1,0
0.29,0.991124066388698,0.858511039978395,1,0
0.3,0.99535162267276,0.859386220773699,1,0
0.31,1.01364059495249,0.859487222145962,1,0
0.32,0.985905086331648,0.862016701640084,1,0
0.33,0.980022347184947,0.857796999449729,1,0
0.34,0.999034758377001,0.852306855554535,1,0
0.35,0.984934851291853,0.850461188696612,1,0
0.36,0.965574236509767,0.845785861162832,1,0
0.37,0.943973413121743,0.837825925077445,1,0
0.38,0.950313234672855,0.826700827591327,1,0
0.39,0.919853669276869,0.817545505149506,1,0
0.4,0.882705420458821,0.80401803520569,1,0
0.41,0.872043021315635,0.785671507759149,1,0
0.42,0.842236311015971,0.767284320945448,1,0
0.43,0.829681377070593,0.745990180043367,1,0
0.44,0.800829159516911,0.724697761427307,1,0
0.45,0.756308265953726,0.701133104378843,1,0
0.46,0.73499609077995,0.673584895219819,1,0
0.47,0.68474174952741,0.645661230013878,1,0
0.48,0.68039584522093,0.613946667280455,1,0
0.49,0.633506836707434,0.584404239673191,1,0
0.5,0.574585978210397,0.552028024210628,1,0
0.51,0.545937502676807,0.516102164222897,1,0
0.52,0.500144189776535,0.480308353709447,1,0
0.53,0.489340938935379,0.443104987004172,1,0
0.54,0.415630420387948,0.407956264976816,1,0
0.55,0.36298258510028,0.36930444747912,1,0
0.56,0.333643462817229,0.329555348762532,1,0
0.57,0.271439713325497,0.29083329108292,1,0
0.58,0.218646541766655,0.250734986703686,1,0
0.59,0.151935350941885,0.210296374548708,1,0
0.6,0.121974013408917,0.168791739854402,1,0
0.61,0.0763822129425104,0.128961511073327,1,0
0.62,0.0204568802574058,0.0897855703576509,1,0
0.63,-0.0248983567548715,0.0506980083055045,1,0
0.64,-0.0669298471293854,0.0124791845845126,1,0
0.65,-0.124143293498263,-0.0246229400933057,1,0
0.66,-0.172107398700296,-0.061555148621383,1,0
0.67,-0.240868172247736,-0.0977254878574562,1,0
0.68,-0.274966859850776,-0.134521747015322,1,0
0.69,-0.309873583344958,-0.169730301120061,1,0
0.7,-0.37653298517169,-0.20347360086307,1,0
0.71,-0.396158386027279,-0.238071000239394,1,0
0.72,-0.435243898885851,-0.270259572755295,1,0
0.73,-0.491796145776621,-0.301545275143918,1,0
0.74,-0.527242201183039,-0.333401103420112,1,0
0.75,-0.59054457819832,-0.364257813147956,1,0
0.76,-0.602843643451311,-0.396522702740795,1,0
0.77,-0.656463857793775,-0.425887636596598,1,0
0.78,-0.688609022573028,-0.45602063702109,1,0
0.79,-0.73051506423666,-0.485006622338851,1,0
0.8,-0.766569806552931,-0.513759544212513,1,0
0.81,-0.793033901296524,-0.541718917087788,1,0
0.82,-0.818916964593187,-0.56795434967792,1,0
0.83,-0.837224030003085,-0.592421668470198,1,0
0.84,-0.870479119388891,-0.614411966424452,1,0
0.85,-0.899713074082637,-0.635449788631046,1,0
0.86,-0.918367425499772,-0.65515169055354,1,0
0.87,-0.931144411631483,-0.672523330627965,1,0
0.88,-0.948812365663863,-0.687100064601737,1,0
0.89,-0.95896900869065,-0.699495554767639,1,0
0.9,-0.992013796227242,-0.709119720957471,1,0
0.91,-0.974836804746139,-0.718273773474306,1,0
0.92,-0.984303463056984,-0.722348572881017,1,0
0.93,-0.981920506639905,-0.724140212742581,1,0
0.94,-1.00428889770934,-0.72276670731238,1,0
0.95,-0.998959493587177,-0.720635110776519,1,0
0.96,-0.99954581397923,-0.715424166532133,1,0
0.97,-0.980566829173066,-0.707889395971042,1,0
0.98,-0.971413831149025,-0.696632816797999,1,0
0.99,-0.953253622532642,-0.682784448295679,1,0
1,-0.940428465747412,-0.665888357240046,1,0
1.01,-0.922270960389565,-0.6466524072034,1,0
1.02,-0.896635287918515,-0.624921294863035,1,0
1.03,-0.879406848914428,-0.600418488554706,1,0
1.04,-0.873771629763398,-0.574042291229172,1,0
1.05,-0.853364049013721,-0.546815474056928,1,0
1.06,-0.798082942848464,-0.517873706316272,1,0
1.07,-0.77980390280692,-0.485155892605063,1,0
1.08,-0.755159816819467,-0.451462415595349,1,0
1.09,-0.728443160904158,-0.416572318128589,1,0
1.1,-0.673950491839985,-0.38056532688987,1,0
1.11,-0.640093012982185,-0.342010770181233,1,0
1.12,-0.597324199293903,-0.302602346794274,1,0
1.13,-0.557165691753013,-0.262042107542832,1,0
1.14,-0.520192156530775,-0.220668428134905,1,0
1.15,-0.476874023130261,-0.178976198154573,1,0
1.16,-0.431655405165728,-0.136748463477788,1,0
1.17,-0.382941073454931,-0.0940319579622543,1,0
1.18,-0.341739908723127,-0.0508017456378038,1,0
1.19,-0.282532378097445,-0.00761163734205539,1,0
1.2,-0.25570663414735,0.036283054675426,1,0
1.21,-0.199791357990591,0.0791115019226493,1,0
1.22,-0.140409164524419,0.122143868885677,1,0
1.23,-0.0984444978612444,0.165309937101799,1,0
1.24,-0.0581688334471861,0.207625944211885,1,0
1.25,-0.0187397262516427,0.248871110178865,1,0
1.26,0.0373774460922513,0.288865760594283,1,0
1.27,0.100128331900462,0.328105724201997,1,0
1.28,0.159411912211632,0.366629089984865,1,0
1.29,0.190005159437897,0.404092643263704,1,0
1.3,0.249520493833456,0.439304493910596,1,0
1.31,0.283445515926548,0.47316793050327,1,0
1.32,0.341970507729974,0.50467284657195,1,0
1.33,0.387189756025515,0.534481021884573,1,0
1.34,0.416696974236071,0.562061583034371,1,0
1.35,0.484773891573194,0.586854001176345,1,0
1.36,0.508329765206446,0.610058501749521,1,0
1.37,0.553971748377096,0.630205417132593,1,0
1.38,0.590899356365083,0.64798654535862,1,0
1.39,0.625471431153998,0.663116916172581,1,0
1.4,0.670450343692984,0.675530595002055,1,0
1.41,0.718303134750852,0.685557027252713,1,0
1.42,0.737964559731774,0.693293097467623,1,0
1.43,0.793152008074113,0.697932009289051,1,0
1.44,0.817610288050043,0.700569157708389,1,0
1.45,0.847068745544764,0.700352265649883,1,0
1.46,0.873543954536765,0.697501577902448,1,0
1.47,0.878715329041369,0.692014401338411,1,0
1.48,0.901012632345366,0.683391533760117,1,0
1.49,0.919352331104089,0.672232877630366,1,0
1.5,0.913762015225901,0.658546206427045,1,0
1.51,0.940928723024841,0.641808768063548,1,0
1.52,0.965179191108855,0.623063229114154,1,0
1.53,0.97069594091512,0.602362931888738,1,0
1.54,0.975866744256124,0.579347596263075,1,0
1.55,0.988708027045749,0.554168613723677,1,0
1.56,0.992389297001238,0.527192670062578,1,0
1.57,0.985367926402354,0.498341014569055,1,0
1.58,0.987939209128825,0.467506906842362,1,0
1.59,0.985161549664734,0.435122538997386,1,0
1.6,0.962603990249434,0.401228494563715,1,0
1.61,0.940343956577013,0.365503293955431,1,0
1.62,0.958205731767646,0.328158107026682,1,0
1.63,0.934145049268421,0.290415499440315,1,0
1.64,0.908370908790744,0.251394332933425,1,0
1.65,0.893777039778888,0.211261212952652,1,0
1.66,0.859137107405812,0.170508475954164,1,0
1.67,0.846518633030527,0.128842775077271,1,0
1.68,0.817633758641355,0.0870321562100759,1,0
1.69,0.789492446658622,0.0448808010777771,1,0
1.7,0.757682070941753,0.00262428254881875,1,0
1.71,0.720018985320566,-0.0396120832100715,1,0
1.72,0.69115275750896,-0.0817568156675657,1,0
1.73,0.674030374545746,-0.123375254650341,1,0
1.74,0.638134813095963,-0.163965369469313,1,0
1.75,0.565790805172897,-0.203793376490806,1,0
1.76,0.54481623282539,-0.243572467543304,1,0
1.77,0.47733299291903,-0.281808194207711,1,0
1.78,0.440039993939988,-0.319496731197442,1,0
1.79,0.401367217367422,-0.355689408264423,1,0
1.8,0.365413518489115,-0.390256746044021,1,0
1.81,0.303229746870934,-0.422975800986563,1,0
1.82,0.268890991962327,-0.45439960658618,1,0
1.83,0.224056880135437,-0.483668824671921,1,0
1.84,0.169920197188015,-0.510958579648577,1,0
1.85,0.131159997562916,-0.536435207838953,1,0
1.86,0.0900257101106971,-0.559606895257223,1,0
1.87,0.00173957106477725,-0.580485961657404,1,0
1.88,-0.0313755716367732,-0.600372947826977,1,0
1.89,-0.0756629955268797,-0.617682758951959,1,0
1.9,-0.11578185032721,-0.632734063137081,1,0
1.91,-0.189507293383726,-0.64541945261811,1,0
1.92,-0.219807964759449,-0.656766143360052,1,0
1.93,-0.247349472401242,-0.665520852991809,1,0
1.94,-0.312465424819782,-0.671653011733968,1,0
1.95,-0.354098497603876,-0.676377743270689,1,0
1.96,-0.41830006459436,-0.679049398012489,1,0
1.97,-0.440430009164702,-0.680452438789021,1,0
1.98,-0.492048985468045,-0.679359741865937,1,0
1.99,-0.537458748662874,-0.67679497830383,1,0
2,-0.575740495040737,-0.67265778303332,1,0
2.01,-0.608319325753879,-0.666820862492636,1,0
2.02,-0.659346422817093,-0.659205440547842,1,0
2.03,-0.711542349069033,-0.650501236180431,1,0
2.04,-0.730909213759588,-0.640837891484085,1,0
2.05,-0.751171107997527,-0.629265703130769,1,0
2.06,-0.778230456529701,-0.615924801324931,1,0
2.07,-0.836318241151364,-0.601140578269916,1,0
2.08,-0.841901038564173,-0.585987358213943,1,0
2.09,-0.872417129610368,-0.568903245514686,1,0
2.1,-0.883251123473001,-0.550781525657565,1,0
2.11,-0.908404749750392,-0.53111430504909,1,0
2.12,-0.911472308101015,-0.510453970680754,1,0
2.13,-0.95542435414101,-0.488278957849297,1,0
2.14,-0.963001936535541,-0.465962389090556,1,0
2.15,-0.970124989360642,-0.442481882982705,1,0
2.16,-0.990615465301322,-0.417925021729883,1,0
2.17,-0.963284275167369,-0.392785856036913,1,0
2.18,-0.969937082938713,-0.365823137831227,1,0
2.19,-0.986824319500586,-0.338141709372168,1,0
2.2,-0.9575023489789,-0.310113049311041,1,0
