q_omega,R,conv_s,bias_hz,std_hz,nrmse,innov_rho1,score
5e-05,0.001,4.07,0.0270107318992281,0.0282068850157865,0.095919634530102,0.949993561112001,0.0552176169150146
5e-05,0.005,4.27,0.00353322954336065,0.016829730927225,0.117177037834355,0.951571617508249,0.0203629604705857
5e-05,0.01,0.93,0.00165689589037326,0.0125518860675632,0.119389985320871,0.950787644349241,0.0142087819579365
5e-05,0.02,0.32,0.00133627558207163,0.00916368158797309,0.120269984059869,0.950609286316346,0.0104999571700447
0.0001,0.001,2.85,0.029546982839026,0.0398708989007633,0.0960275826491832,0.949947085844765,0.0694178817397892
0.0001,0.005,3.55,0.00410896046045709,0.0237883215223422,0.117160037830083,0.951413623433112,0.0278972819827993
0.0001,0.01,0.93,0.00213603503253934,0.017745259999065,0.119568295150736,0.950789823410177,0.0198812950316043
0.0001,0.02,0.32,0.00186167494696431,0.0129576099251356,0.120450385327202,0.95061595761291,0.0148192848720999
0.0002,0.001,1.32,0.0334477836644339,0.05636467812081,0.0961780435087486,0.949895640577305,0.0898124617852439
0.0002,0.005,2.37,0.00479456530341495,0.0336162821381013,0.117187509087852,0.951245165134661,0.0384108474415163
0.0002,0.01,0.93,0.00264091849456557,0.0250836610185089,0.119806148102036,0.950794519526922,0.0277245795130745
0.0002,0.02,0.32,0.00242535118705317,0.0183214496497457,0.120689256238504,0.950626052671567,0.0207468008367988
0.0005,0.001,1.73,0.0424333059997768,0.089163260338231,0.0964686249591441,0.949831772129697,0.131596566338008
0.0005,0.005,1.17,0.00585103803872673,0.0530734235401057,0.117330038691505,0.951019236183281,0.0589244615788324
0.0005,0.01,1.93,0.00318125510624959,0.0396216117100242,0.120229146849529,0.950804261633033,0.0428028668162738
0.0005,0.02,0.32,0.00304932597879947,0.0289579304247169,0.121113977258182,0.950646966652766,0.0320072564035164
0.001,0.001,0.96,0.0547396227719071,0.126365118959991,0.0967747437640783,0.949794869138438,0.181104741731898
0.001,0.005,1.11,0.00680412587200481,0.0749429181860864,0.117578653835304,0.950888430792287,0.0817470440580912
0.001,0.01,0.92,0.00328791693322977,0.0559682083545497,0.120639221354873,0.950810774801522,0.0592561252877794
0.001,0.02,0.32,0.00316952032745231,0.0409319160238139,0.121530609030562,0.950670089713156,0.0441014363512662
