Timestamp,Force_X_N,Force_Y_N,Force_Z_N,Force_Magnitude_N
2025/08/04 16:17:47.930,1.371,0.158,-23.418,23.458630160348235
2025/08/04 16:17:48.030,1.38,0.156,-23.437,23.47811118893511
2025/08/04 16:17:48.130,1.389,0.15,-23.43,23.471615219238746
2025/08/04 16:17:48.230,1.375,0.152,-23.421,23.461819409414947
2025/08/04 16:17:48.330,1.368,0.161,-23.42,23.4604719688245
2025/08/04 16:17:48.430,1.39,0.148,-23.424,23.465672374769063
2025/08/04 16:17:48.530,1.38,0.158,-23.425,23.466145593173156
2025/08/04 16:17:48.630,1.368,0.157,-23.426,23.46643451826459
2025/08/04 16:17:48.730,1.383,0.155,-23.432,23.473289884462297
2025/08/04 16:17:48.830,1.391,0.152,-23.43,23.47174652640915
2025/08/04 16:17:48.930,1.368,0.159,-23.414,23.454468678697456
2025/08/04 16:17:49.030,1.381,0.156,-23.429,23.470184021434513
2025/08/04 16:17:49.130,1.399,0.148,-23.431,23.473194627063442
2025/08/04 16:17:49.230,1.374,0.16,-23.417,23.457820977234864
2025/08/04 16:17:49.330,1.373,0.149,-23.437,23.477655313084398
2025/08/04 16:17:49.430,1.391,0.153,-23.442,23.483731688128273
2025/08/04 16:17:49.530,1.376,0.156,-23.426,23.466895576535045
2025/08/04 16:17:49.630,1.377,0.16,-23.429,23.469975926702606
2025/08/04 16:17:49.731,1.387,0.154,-23.436,23.477512240439786
2025/08/04 16:17:49.830,1.386,0.151,-23.433,23.47443899223153
2025/08/04 16:17:49.931,1.368,0.155,-23.43,23.47041433379479
2025/08/04 16:17:50.030,1.391,0.151,-23.439,23.480724073162648
2025/08/04 16:17:50.130,1.403,0.147,-23.44,23.482410821719306
2025/08/04 16:17:50.230,1.371,0.154,-23.417,23.457605291248296
2025/08/04 16:17:50.330,1.381,0.157,-23.424,23.46519946644392
2025/08/04 16:17:50.430,1.39,0.151,-23.434,23.47567372835123
2025/08/04 16:17:50.530,1.376,0.16,-23.43,23.470915533911327
2025/08/04 16:17:50.630,1.373,0.159,-23.423,23.46374520403765
2025/08/04 16:17:50.730,1.402,0.154,-23.43,23.472414021570085
2025/08/04 16:17:50.830,1.379,0.156,-23.425,23.46607342526653
2025/08/04 16:17:50.931,1.367,0.155,-23.423,23.46336810860708
2025/08/04 16:17:51.030,1.399,0.152,-23.449,23.49118783714438
2025/08/04 16:17:51.130,1.393,0.148,-23.428,23.46984313965477
2025/08/04 16:17:51.231,1.376,0.151,-23.427,23.46786112963855
2025/08/04 16:17:51.331,1.382,0.155,-23.443,23.484211675080772
2025/08/04 16:17:51.430,1.392,0.153,-23.435,23.476803402507763
2025/08/04 16:17:51.531,1.368,0.159,-23.427,23.467446260724664
2025/08/04 16:17:51.630,1.381,0.16,-23.429,23.470210949201114
2025/08/04 16:17:51.731,1.399,0.145,-23.44,23.48215973883152
2025/08/04 16:17:51.831,1.382,0.154,-23.436,23.477217381964156
2025/08/04 16:17:51.931,1.377,0.16,-23.431,23.47197243522581
2025/08/04 16:17:52.030,1.398,0.145,-23.453,23.49507688857391
2025/08/04 16:17:52.131,1.39,0.155,-23.451,23.492669622671666
2025/08/04 16:17:52.230,1.377,0.155,-23.437,23.477928422243732
2025/08/04 16:17:52.331,1.38,0.146,-23.454,23.495017173860504
2025/08/04 16:17:52.431,1.399,0.149,-23.457,23.499154261377154
2025/08/04 16:17:52.531,1.379,0.156,-23.446,23.487036701125156
2025/08/04 16:17:52.631,1.384,0.154,-23.45,23.491310563695674
2025/08/04 16:17:52.731,1.398,0.148,-23.445,23.487109932897237
2025/08/04 16:17:52.831,1.373,0.159,-23.437,23.47772090727718
