Time_s,Position_Z_m,Velocity_Z_m_s
0,-0.851520299911499,0.0122040510177612
0.02,-0.851276218891144,0.0121518969535828
0.04,-0.851034224033356,0.0103935599327087
0.06,-0.850860476493835,0.00544637441635132
0.08,-0.850816369056702,-0.000220537185668945
0.1,-0.850869297981262,-0.00324994325637817
0.12,-0.850946366786957,-0.0021025538444519
0.14,-0.85095340013504,-0.00261068344116211
0.16,-0.851050794124603,-0.00837594270706177
0.18,-0.851288437843323,-0.0108450651168823
0.2,-0.851484596729279,-0.0129848718643188
0.22,-0.851807832717896,-0.0150412321090698
0.24,-0.852086246013641,-0.0138223171234131
0.26,-0.852360725402832,-0.0153467059135437
0.28,-0.852700114250183,-0.0157833099365234
0.3,-0.852992057800293,-0.0167250633239746
0.32,-0.853369116783142,-0.0175237655639648
0.34,-0.853693008422852,-0.0173836946487427
0.36,-0.854064464569092,-0.0147923827171326
0.38,-0.854284703731537,-0.0135764479637146
0.4,-0.85460752248764,-0.0177919864654541
0.42,-0.854996383190155,-0.0155076384544373
0.44,-0.855227828025818,-0.0121057033538818
0.46,-0.85548061132431,-0.0147417187690735
0.48,-0.855817496776581,-0.0142008066177368
0.5,-0.85604864358902,-0.0141292810440063
0.52,-0.856382668018341,-0.01249760389328
0.54,-0.856548547744751,-0.00968873500823975
0.56,-0.856770217418671,-0.0109463930130005
0.58,-0.856986403465271,-0.00873953104019165
0.6,-0.857119798660278,-0.00643134117126465
0.62,-0.857243657112122,-0.00431537628173828
0.64,-0.857292413711548,-0.00095069408416748
0.66,-0.857281684875488,0.00248998403549194
0.68,-0.857192814350128,0.00240951776504517
0.7,-0.857185304164886,-7.15255737304688e-05
0.72,-0.857195675373077,-0.000219047069549561
0.74,-0.857194066047668,0.000455975532531738
0.76,-0.857177436351776,0.00295192003250122
0.78,-0.857075989246368,0.00373721122741699
0.8,-0.857027947902679,0.00110417604446411
0.82,-0.85703182220459,0.00110417604446411
0.84,-0.856983780860901,0.00357627868652344
0.86,-0.856888771057129,0.00624954700469971
0.88,-0.856733798980713,0.00675320625305176
0.9,-0.856618642807007,0.00849813222885132
0.92,-0.856393873691559,0.00821948051452637
0.94,-0.856289863586426,0.00621378421783447
0.96,-0.856145322322845,0.00774115324020386
0.98,-0.855980217456818,0.00997781753540039
1,-0.855746209621429,0.0114917755126953
1.02,-0.85552054643631,0.00817775726318359
1.04,-0.855419099330902,0.00692158937454224
1.06,-0.855243682861328,0.0111714005470276
1.08,-0.854972243309021,0.00909268856048584
1.1,-0.854879975318909,0.00326931476593018
1.12,-0.854841470718384,-0.000850856304168701
1.14,-0.854914009571075,-0.00156760215759277
1.16,-0.854904174804688,0.00118762254714966
1.18,-0.854866504669189,0.00125020742416382
1.2,-0.854854166507721,-0.00261366367340088
1.22,-0.854971051216125,-0.00693649053573608
1.24,-0.85513162612915,-0.0101193785667419
1.26,-0.855375826358795,-0.0103950500488281
1.28,-0.855547428131104,-0.00831037759780884
1.3,-0.855708241462708,-0.00838637351989746
1.32,-0.855882883071899,-0.0108987092971802
1.34,-0.856144189834595,-0.014786422252655
1.36,-0.856474339962006,-0.0162050127983093
1.38,-0.856792390346527,-0.0135764479637146
1.4,-0.857017397880554,-0.0100582838058472
1.42,-0.857194721698761,-0.0121906399726868
1.44,-0.857505023479462,-0.0156700611114502
1.46,-0.857821524143219,-0.0150993466377258
1.48,-0.858108997344971,-0.0138908624649048
1.5,-0.858377158641815,-0.0110462307929993
1.52,-0.858550846576691,-0.00673830509185791
1.54,-0.85864669084549,-0.00690370798110962
1.56,-0.858826994895935,-0.0107675790786743
1.58,-0.859077394008636,-0.0112190842628479
1.6,-0.859275758266449,-0.0104308128356934
1.62,-0.859494626522064,-0.00759512186050415
1.64,-0.859579563140869,-0.00402182340621948
1.66,-0.859655499458313,-0.00433474779129028
1.68,-0.859752953052521,-0.00556111335754395
1.7,-0.859877943992615,-0.00446438789367676
1.72,-0.859931528568268,-0.00237524509429932
1.74,-0.859972953796387,-0.000387430191040039
1.76,-0.859947025775909,0.000455975532531738
1.78,-0.859954714775085,-0.00126063823699951
1.8,-0.859997451305389,-0.0012129545211792
1.82,-0.860003232955933,-0.000382959842681885
1.84,-0.860012769699097,-0.00262260437011719
1.86,-0.860108137130737,-0.0051349401473999
1.88,-0.860218167304993,-0.00661909580230713
1.9,-0.86037290096283,-0.00885874032974243
1.92,-0.860572516918182,-0.0117719173431396
1.94,-0.860843777656555,-0.0133827328681946
1.96,-0.86110782623291,-0.0152379274368286
1.98,-0.861453294754028,-0.0190705060958862
2,-0.861870646476746,-0.0236287713050842
2.02,-0.862398445606232,-0.0253483653068542
2.04,-0.86288458108902,-0.0251099467277527
2.06,-0.863402843475342,-0.0285625457763672
2.08,-0.864027082920074,-0.0342831015586853
2.1,-0.864774167537689,-0.0395134091377258
2.12,-0.865607619285583,-0.0438421964645386
2.14,-0.866527855396271,-0.0444024801254272
2.16,-0.867383718490601,-0.0435814261436462
2.18,-0.868271112442017,-0.0468328595161438
2.2,-0.869257032871246,-0.0499635934829712
2.22,-0.870269656181335,-0.0526592135429382
2.24,-0.871363401412964,-0.0538930296897888
2.26,-0.872425377368927,-0.0530853867530823
2.28,-0.873486816883087,-0.0518232583999634
2.3,-0.874498307704926,-0.0501453876495361
2.32,-0.875492632389069,-0.0538453459739685
2.34,-0.876652121543884,-0.0550329685211182
2.36,-0.877693951129913,-0.0497207045555115
2.38,-0.878640949726105,-0.0455960631370544
2.4,-0.879517793655396,-0.0416383147239685
2.42,-0.880306482315063,-0.039537250995636
2.44,-0.881099283695221,-0.0410035252571106
2.46,-0.881946623325348,-0.0403180718421936
2.48,-0.882712006568909,-0.0362396240234375
2.5,-0.883396208286285,-0.033155083656311
2.52,-0.884038209915161,-0.0280335545539856
2.54,-0.884517550468445,-0.0259280204772949
2.56,-0.885075330734253,-0.0277325510978699
2.58,-0.88562685251236,-0.0274300575256348
2.6,-0.886172533035278,-0.0232324004173279
2.62,-0.886556148529053,-0.0177875161170959
2.64,-0.886884033679962,-0.014573335647583
2.66,-0.887139081954956,-0.0132471323013306
2.68,-0.887413918972015,-0.0131234526634216
2.7,-0.887664020061493,-0.0133156776428223
2.72,-0.887946546077728,-0.0126242637634277
2.74,-0.88816899061203,-0.0101715326309204
2.76,-0.888353407382965,-0.00816881656646729
2.78,-0.888495743274689,-0.00801384449005127
2.8,-0.888673961162567,-0.00869631767272949
2.82,-0.888843595981598,-0.00762790441513062
2.84,-0.888979077339172,-0.0106707215309143
2.86,-0.889270424842834,-0.0143155455589294
2.88,-0.88955169916153,-0.0149071216583252
2.9,-0.889866709709167,-0.0144258141517639
2.92,-0.8901287317276,-0.0119760632514954
2.94,-0.890345752239227,-0.0112831592559814
2.96,-0.890580058097839,-0.0130519270896912
2.98,-0.890867829322815,-0.0159367918968201
3,-0.891217529773712,-0.0182867050170898
3.02,-0.891599297523499,-0.0154286623001099
3.04,-0.891834676265717,-0.0105947256088257
3.06,-0.892023086547852,-0.0105753540992737
