t,phi,theta,psi,phi_b,theta_b,psi_b,tau_x,tau_y,tau_z
0,0,0,0,0,0,0,1.36844016915284,-0,-0
0.01,1.81761618365146e-05,0,0,1.81761618365146e-05,0,0,1.34651903170199,-0,-0
0.02,7.20746624676799e-05,0,0,7.20746624676799e-05,0,0,1.3249777433481,-0,-0
0.03,0.000160766056047644,0,0,0.000160766056047644,0,0,1.30380947668704,-0,-0
0.04,0.000283340137706879,0,0,0.000283340137706879,0,0,1.28300752935273,-0,-0
0.05,0.000438904925151747,0,0,0.000438904925151747,0,0,1.26256531770631,-0,-0
0.06,0.000626586658664499,0,0,0.000626586658664499,0,0,1.24247637683614,-0,-0
0.07,0.000845524486698143,0,0,0.000845524486698143,0,0,1.22273432761293,-0,-0
0.08,0.00109488067764493,0,0,0.00109488067764493,0,0,1.20333293998292,-0,-0
0.09,0.00137384101157278,0,0,0.00137384101157278,0,0,1.18426613537229,-0,-0
0.1,0.00168160619247607,0,0,0.00168160619247606,0,0,1.16552793344607,-0,-0
0.11,0.00201739184827567,0,0,0.00201739184827567,0,0,1.14711245210812,-0,-0
0.12,0.00238042853081894,0,0,0.00238042853081894,0,0,1.12901390750111,-0,-0
0.13,0.00276996171587971,0,0,0.00276996171587971,0,0,1.11122661400655,-0,-0
0.14,0.00318525180315832,0,0,0.00318525180315832,0,0,1.09374498424478,-0,-0
0.15,0.00362557411628155,0,0,0.00362557411628155,0,0,1.07656352907497,-0,-0
0.16,0.00409021890280271,0,0,0.00409021890280271,0,0,1.0596768575951,-0,-0
0.17,0.00457849133420154,0,0,0.00457849133420154,0,0,1.043079677142,-0,-0
0.18,0.00508971088361804,0,0,0.00508971088361804,0,0,1.02676678929624,-0,-0
0.19,0.00562321473737263,0,0,0.00562321473737263,0,0,1.01073311090013,-0,-0
0.2,0.00617835873267327,0,0,0.00617835873267327,0,0,0.99497368037964,-0,-0
0.21,0.0067545108670266,0,0,0.0067545108670266,0,0,0.979483617141093,-0,-0
0.22,0.00735105106960074,0,0,0.00735105106960074,0,0,0.964258120131417,-0,-0
0.23,0.00796737120122536,0,0,0.00796737120122536,0,0,0.949292467838138,-0,-0
0.24,0.00860287505439165,0,0,0.00860287505439165,0,0,0.934582018289387,-0,-0
0.25,0.00925697835325234,0,0,0.00925697835325234,0,0,0.920122209053895,-0,-0
0.26,0.00992910875362166,0,0,0.00992910875362166,0,0,0.905908557240993,-0,-0
0.27,0.0106187058429754,0,0,0.0106187058429754,0,0,0.891936659500615,-0,-0
0.28,0.0113252211404508,0,0,0.0113252211404508,0,0,0.878202192023297,-0,-0
0.29,0.0120481178955096,0,0,0.0120481178955096,0,0,0.86470090926021,-0,-0
0.3,0.0127868707594588,0,0,0.0127868707594588,0,0,0.851428641543366,-0,-0
0.31,0.0135409719041881,0,0,0.0135409719041881,0,0,0.838381333721065,-0,-0
0.32,0.0143099245664611,0,0,0.0143099245664611,0,0,0.825555004776648,-0,-0
0.33,0.0150932414160856,0,0,0.0150932414160856,0,0,0.812945737540848,-0,-0
0.34,0.0158904445559141,0,0,0.0158904445559141,0,0,0.800549678691784,-0,-0
0.35,0.0167010655218434,0,0,0.0167010655218434,0,0,0.788363038754968,-0,-0
0.36,0.0175246452828152,0,0,0.0175246452828153,0,0,0.7763820921033,-0,-0
0.37,0.0183607342408155,0,0,0.0183607342408155,0,0,0.764603176957073,-0,-0
0.38,0.0192088922308749,0,0,0.0192088922308749,0,0,0.753022695383966,-0,-0
0.39,0.0200686885210686,0,0,0.0200686885210686,0,0,0.741637113299051,-0,-0
0.4,0.0209397018125161,0,0,0.0209397018125161,0,0,0.730442960464789,-0,-0
0.41,0.0218215199651736,0,0,0.0218215199651736,0,0,0.719436828728895,-0,-0
0.42,0.0227137401961835,0,0,0.0227137401961835,0,0,0.70861537291775,-0,-0
0.43,0.0236159741058752,0,0,0.0236159741058752,0,0,0.697975342908558,-0,-0
0.44,0.0245278417158013,0,0,0.0245278417158013,0,0,0.687513546067245,-0,-0
0.45,0.0254489704078177,0,0,0.0254489704078177,0,0,0.67722684050655,-0,-0
0.46,0.0263789949240835,0,0,0.0263789949240835,0,0,0.667112135086035,-0,-0
0.47,0.0273175573670606,0,0,0.0273175573670606,0,0,0.657166389412078,-0,-0
0.48,0.0282643071995142,0,0,0.0282643071995142,0,0,0.647386613837874,-0,-0
0.49,0.0292189012445127,0,0,0.0292189012445127,0,0,0.637769869463438,-0,-0
0.5,0.0301810036854274,0,0,0.0301810036854274,0,0,0.628313268135605,-0,-0
0.51,0.0311502860659329,0,0,0.0311502860659329,0,0,0.619013972448025,-0,-0
0.52,0.0321264272900066,0,0,0.0321264272900066,0,0,0.609869195741169,-0,-0
0.53,0.0331091136219294,0,0,0.0331091136219294,0,0,0.600876202102323,-0,-0
0.54,0.0340980378163291,0,0,0.0340980378163291,0,0,0.592032300606375,-0,-0
0.55,0.0350929031965985,0,0,0.0350929031965985,0,0,0.583334871145553,-0,-0
0.56,0.0360934222477074,0,0,0.0360934222477074,0,0,0.574781355914917,-0,-0
0.57,0.0370993131170882,0,0,0.0370993131170882,0,0,0.566369237043958,-0,-0
0.58,0.0381102996092219,0,0,0.0381102996092219,0,0,0.558096036561686,-0,-0
0.59,0.0391261111856383,0,0,0.0391261111856383,0,0,0.549959316396627,-0,-0
0.6,0.0401464829649157,0,0,0.0401464829649157,0,0,0.541956678376823,-0,-0
0.61,0.041171155722681,0,0,0.0411711557226809,0,0,0.534085764229835,-0,-0
