t,phi,theta,psi,phi_b,theta_b,psi_b,tau_x,tau_y,tau_z
0,0,0,0,0,0,0,1.62896173838261,-0,-0
0.01,2.16317462206346e-05,0,0,2.16317462206346e-05,0,0,1.60179823634902,-0,-0
0.02,8.57581319472699e-05,0,0,8.57581319472698e-05,0,0,1.57508996000547,-0,-0
0.03,0.000191244615528951,0,0,0.000191244615528951,0,0,1.54882926011845,-0,-0
0.04,0.000336979931108223,0,0,0.000336979931108223,0,0,1.52300861651515,-0,-0
0.05,0.000521874904801539,0,0,0.000521874904801539,0,0,1.49762063215165,-0,-0
0.06,0.000744862454699261,0,0,0.000744862454699261,0,0,1.47265803311292,-0,-0
0.07,0.00100489218403707,0,0,0.00100489218403707,0,0,1.44811364148333,-0,-0
0.08,0.00130094097533528,0,0,0.00130094097533528,0,0,1.42398042846912,-0,-0
0.09,0.00163201300359021,0,0,0.00163201300359021,0,0,1.40025151441268,-0,-0
0.1,0.00199713080246282,0,0,0.00199713080246282,0,0,1.37692012396038,-0,-0
0.11,0.00239533526427876,0,0,0.00239533526427876,0,0,1.35397958606248,-0,-0
0.12,0.00282568564002835,0,0,0.00282568564002835,0,0,1.3314233339732,-0,-0
0.13,0.00328725953936659,0,0,0.00328725953936659,0,0,1.30924490525069,-0,-0
0.14,0.00377915293061317,0,0,0.00377915293061317,0,0,1.28743794175704,-0,-0
0.15,0.00430048014075243,0,0,0.00430048014075243,0,0,1.26599618965826,-0,-0
0.16,0.00485037385543342,0,0,0.00485037385543342,0,0,1.24491349942432,-0,-0
0.17,0.00542798507684414,0,0,0.00542798507684414,0,0,1.22418382560733,-0,-0
0.18,0.00603248227843688,0,0,0.00603248227843688,0,0,1.20380122188907,-0,-0
0.19,0.00666305834608435,0,0,0.00666305834608435,0,0,1.18375987676036,-0,-0
0.2,0.00731892425793893,0,0,0.00731892425793893,0,0,1.16405408179254,-0,-0
0.21,0.00799930588677879,0,0,0.00799930588677879,0,0,1.14467821513113,-0,-0
0.22,0.00870344400000795,0,0,0.00870344400000795,0,0,1.12562674149584,-0,-0
0.23,0.00943059425965624,0,0,0.00943059425965624,0,0,1.10689421218057,-0,-0
0.24,0.0101800272223793,0,0,0.0101800272223793,0,0,1.08847526505342,-0,-0
0.25,0.0109510283394585,0,0,0.0109510283394585,0,0,1.07036462455666,-0,-0
0.26,0.0117428979568013,0,0,0.0117428979568013,0,0,1.05255710170675,-0,-0
0.27,0.0125549513149406,0,0,0.0125549513149406,0,0,1.03504759409435,-0,-0
0.28,0.0133865184896789,0,0,0.0133865184896789,0,0,1.01783108556965,-0,-0
0.29,0.01423694321952,0,0,0.01423694321952,0,0,1.00090263959405,-0,-0
0.3,0.0151055898727811,0,0,0.0151055898727811,0,0,0.984257435459467,-0,-0
0.31,0.0159918377330459,0,0,0.0159918377330459,0,0,0.967890739242263,-0,-0
0.32,0.0168950780404021,0,0,0.0168950780404021,0,0,0.951797888372045,-0,-0
0.33,0.0178147139914417,0,0,0.0178147139914417,0,0,0.935974291631675,-0,-0
0.34,0.018750160739261,0,0,0.018750160739261,0,0,0.920415429157269,-0,-0
0.35,0.0197008453934603,0,0,0.0197008453934603,0,0,0.905116852438195,-0,-0
0.36,0.0206662070201445,0,0,0.0206662070201445,0,0,0.890074184317077,-0,-0
0.37,0.0216456966419222,0,0,0.0216456966419222,0,0,0.875283118989789,-0,-0
0.38,0.0226387772379068,0,0,0.0226387772379068,0,0,0.860739422005461,-0,-0
0.39,0.0236449237437154,0,0,0.0236449237437154,0,0,0.846438930266475,-0,-0
0.4,0.0246636222728555,0,0,0.0246636222728555,0,0,0.832377547723765,-0,-0
0.41,0.025694372866495,0,0,0.025694372866495,0,0,0.818551259184606,-0,-0
0.42,0.0267366914232045,0,0,0.0267366914232045,0,0,0.804956141377303,-0,-0
0.43,0.0277901035541636,0,0,0.0277901035541636,0,0,0.791588330612982,-0,-0
0.44,0.0288541443477668,0,0,0.0288541443477668,0,0,0.778444021527698,-0,-0
0.45,0.0299283583696232,0,0,0.0299283583696232,0,0,0.765519467082437,-0,-0
0.46,0.031012299662557,0,0,0.031012299662557,0,0,0.75281097856312,-0,-0
0.47,0.0321055317466069,0,0,0.0321055317466069,0,0,0.7403149255806,-0,-0
0.48,0.0332076276190265,0,0,0.0332076276190265,0,0,0.728027736070659,-0,-0
0.49,0.0343181697542845,0,0,0.0343181697542845,0,0,0.715945896294014,-0,-0
0.5,0.0354367501040641,0,0,0.0354367501040641,0,0,0.704065950836314,-0,-0
0.51,0.0365629700972634,0,0,0.0365629700972634,0,0,0.69238450260814,-0,-0
0.52,0.0376964398272502,0,0,0.0376964398272502,0,0,0.680898208218056,-0,-0
0.53,0.0388367811636159,0,0,0.0388367811636159,0,0,0.669603794008407,-0,-0
0.54,0.039983628602404,0,0,0.039983628602404,0,0,0.658498061594481,-0,-0
0.55,0.0411366241560684,0,0,0.0411366241560684,0,0,0.647577860455267,-0,-0
0.56,0.0422954172401693,0,0,0.0422954172401693,0,0,0.636840087315019,-0,-0
0.57,0.0434596646733735,0,0,0.0434596646733735,0,0,0.626281686143258,-0,-0
0.58,0.0446290306774543,0,0,0.0446290306774543,0,0,0.615899648154768,-0,-0
0.59,0.0458031868772915,0,0,0.0458031868772915,0,0,0.605691011809598,-0,-0
0.6,0.0469818123008716,0,0,0.0469818123008716,0,0,0.595652862813062,-0,-0
0.61,0.0481645933792874,0,0,0.0481645933792874,0,0,0.58578233411574,-0,-0
0.62,0.0493512239467383,0,0,0.0493512239467383,0,0,0.576076605913475,-0,-0
0.63,0.0505414052405303,0,0,0.0505414052405303,0,0,0.566532905647377,-0,-0
0.64,0.0517348457270212,0,0,0.0517348457270212,0,0,0.557148507012568,-0,-0
0.65,0.0529312607773485,0,0,0.0529312607773485,0,0,0.547920727371206,-0,-0
0.66,0.054130377720952,0,0,0.054130377720952,0,0,0.538846955865682,-0,-0
0.67,0.0553319308414352,0,0,0.0553319308414352,0,0,0.529924626547176,-0,-0
0.68,0.0565356601069623,0,0,0.0565356601069623,0,0,0.521151211354545,-0,-0
0.69,0.0577413111702582,0,0,0.0577413111702582,0,0,0.512524220114321,-0,-0
0.7,0.0589486353686085,0,0,0.0589486353686085,0,0,0.504041200540709,-0,-0
0.71,0.0601573897238596,0,0,0.0601573897238596,0,0,0.49569973823559,-0,-0
0.72,0.0613673369424184,0,0,0.0613673369424184,0,0,0.487497456688524,-0,-0
0.73,0.0625782454152526,0,0,0.0625782454152526,0,0,0.479432017276741,-0,-0
0.74,0.0637898892178908,0,0,0.0637898892178908,0,0,0.47150111926515,-0,-0
0.75,0.0650020481104221,0,0,0.0650020481104221,0,0,0.463702499806334,-0,-0
0.76,0.0662145075374962,0,0,0.0662145075374962,0,0,0.456033933940552,-0,-0
0.77,0.067427058518738,0,0,0.067427058518738,0,0,0.448493233953849,-0,-0
0.78,0.0686394971335855,0,0,0.0686394971335855,0,0,0.441078245653731,-0,-0
0.79,0.0698516292274304,0,0,0.0698516292274304,0,0,0.43378687511749,-0,-0
0.8,0.0710632662797732,0,0,0.0710632662797732,0,0,0.426617066166148,-0,-0
0.81,0.0722742240462643,0,0,0.0722742240462643,0,0,0.419566792665022,-0,-0
0.82,0.0734843225587031,0,0,0.0734843225587031,0,0,0.412634058523732,-0,-0
0.83,0.0746933861250387,0,0,0.0746933861250387,0,0,0.405816897696199,-0,-0
0.84,0.0759012433293694,0,0,0.0759012433293694,0,0,0.399113374180641,-0,-0
0.85,0.0771077270319432,0,0,0.0771077270319431,0,0,0.392521582019578,-0,-0
0.86,0.0783126743691571,0,0,0.0783126743691571,0,0,0.386039645299828,-0,-0
0.87,0.079515926753558,0,0,0.079515926753558,0,0,0.379665718152513,-0,-0
0.88,0.0807173298738417,0,0,0.0807173298738417,0,0,0.373397984753051,-0,-0
0.89,0.081916733694854,0,0,0.081916733694854,0,0,0.367234659321161,-0,-0
0.9,0.0831139924575895,0,0,0.0831139924575895,0,0,0.361173986120864,-0,-0
0.91,0.0843089643383055,0,0,0.0843089643383055,0,0,0.355214237346431,-0,-0
0.92,0.085501512215569,0,0,0.085501512215569,0,0,0.349353716539846,-0,-0
0.93,0.0866915066267316,0,0,0.0866915066267316,0,0,0.343590776660953,-0,-0
0.94,0.0878788216496982,0,0,0.0878788216496982,0,0,0.337923796577143,-0,-0
0.95,0.089063334498784,0,0,0.089063334498784,0,0,0.332351178680736,-0,-0
0.96,0.0902449255247141,0,0,0.0902449255247141,0,0,0.326871348888983,-0,-0
0.97,0.091423478214624,0,0,0.091423478214624,0,0,0.32148275664406,-0,-0
0.98,0.092598879192059,0,0,0.092598879192059,0,0,0.316183874913074,-0,-0
0.99,0.0937710182169747,0,0,0.0937710182169747,0,0,0.310973200188058,-0,-0
1,0.0949397881857368,0,0,0.0949397881857367,0,0,0.305849252485975,-0,-0
1.01,0.0961050851311209,0,0,0.0961050851311209,0,0,0.300810575348717,-0,-0
1.02,0.0972668082223131,0,0,0.0972668082223131,0,0,0.295855735843103,-0,-0
1.03,0.0984248597649093,0,0,0.0984248597649093,0,0,0.29098332456088,-0,-0
1.04,0.0995791452009155,0,0,0.0995791452009155,0,0,0.286191955618726,-0,-0
1.05,0.100729573099598,0,0,0.100729573099598,0,0,0.281480266600666,-0,-0
1.06,0.101876054454713,0,0,0.101876054454713,0,0,0.27684691357099,-0,-0
1.07,0.103018506234301,0,0,0.103018506234301,0,0,0.27229059218215,-0,-0
1.08,0.10415684939586,0,0,0.10415684939586,0,0,0.267810026899179,-0,-0
1.09,0.105291007124532,0,0,0.105291007124532,0,0,0.263403960343167,-0,-0
1.1,0.106420904833096,0,0,0.106420904833096,0,0,0.259071153291257,-0,-0
1.11,0.107546470161974,0,0,0.107546470161974,0,0,0.254810384676649,-0,-0
1.12,0.108667632979228,0,0,0.108667632979228,0,0,0.250620451588593,-0,-0
1.13,0.109784325380562,0,0,0.109784325380562,0,0,0.2465001692724,-0,-0
1.14,0.110896481689318,0,0,0.110896481689318,0,0,0.242448371129429,-0,-0
1.15,0.112004038456481,0,0,0.112004038456481,0,0,0.238463908717098,-0,-0
1.16,0.113106934460675,0,0,0.113106934460675,0,0,0.234545651748877,-0,-0
1.17,0.114205110708168,0,0,0.114205110708168,0,0,0.230692488094291,-0,-0
1.18,0.115298510432865,0,0,0.115298510432865,0,0,0.226903323778923,-0,-0
1.19,0.116387079096313,0,0,0.116387079096313,0,0,0.223177082984404,-0,-0
1.2,0.117470764387701,0,0,0.117470764387701,0,0,0.219512708048425,-0,-0
1.21,0.118549515788781,0,0,0.118549515788781,0,0,0.21590915634738,-0,-0
1.22,0.119623286203676,0,0,0.119623286203676,0,0,0.212365409447508,-0,-0
