Time,Motor1_Filtered,Motor2_Filtered,Motor3_Filtered,Motor4_Filtered
0,0,0,0,0
0.01,703.1,693.1,694.1,703.1
0.02,703.19,693.19,694.19,703.19
0.03,703.271,693.271,694.271,703.271
0.04,703.3439,693.3439,694.3439,703.3439
0.05,703.311262560852,693.311262560852,694.311262560852,703.311262560852
0.06,703.375396183407,693.280136304767,694.280136304767,703.280136304767
0.07,703.437856565067,693.348612870564,694.25212267429,703.25212267429
0.08,703.49407090856,693.413751583507,694.226910406861,703.129961345041
0.09,703.544663817704,693.472376425157,694.204219366175,703.016965210537
0.1,703.590197435934,693.525138782641,694.183797429558,702.915268689483
0.11,703.261976438149,693.388024277281,693.980817059506,702.454540566343
0.12,702.935778794334,693.249221849553,693.690355448345,702.009086509709
0.13,701.907471021719,692.573252244712,692.962113720273,700.873447965556
0.14,700.916723919547,691.91592702024,692.265902348245,699.786103169001
0.15,697.435064617062,689.270206768485,689.585184563689,696.21750594157
0.16,693.991558155355,686.643186091636,686.92666610732,692.785286585275
0.17,690.036941991715,683.508953169179,683.849631218105,688.851297578643
0.18,686.333247792544,680.558057852261,680.874985832869,685.255850084204
0.19,679.72125407824,675.141267700677,675.512783644673,678.751596140734
0.2,673.249128670416,669.827140930609,670.174023817911,672.376436526661
0.21,665.876678731403,663.668838329129,663.9810329277,665.091255802023
0.22,658.989010858263,657.819995192506,658.18292963493,658.282130221821
0.23,651.372302911873,651.03678840913,651.463429407312,650.652709935513
0.24,644.235072620686,644.633109568217,645.035804038013,643.487438941962
0.25,637.237812624383,638.132116524523,638.576506223659,636.382977637213
0.26,630.896491263154,632.118904872071,632.618855601293,629.844679873491
0.27,624.579476748143,626.079648996168,626.629604652468,623.411267171033
0.28,618.798056284058,620.395156885822,621.066644187221,617.47014045393
0.29,613.310627714542,614.948018256129,615.675451092111,611.815503467427
0.3,608.279564943088,609.953216430516,610.7079059829,606.633953120684
0.31,603.599430734681,605.305717073367,606.084937670512,601.894468951567
0.32,599.264830512344,601.07514536603,601.801786754592,597.60502205641
0.33,595.33834746111,597.117192645247,597.846388987043,593.744519850769
0.34,591.730961351367,593.505473380722,594.261750088339,590.270067865692
0.35,588.45786521623,590.25492604265,591.035575079505,587.217456162516
0.36,585.512078694607,587.329433438385,588.132017571554,584.495710546265
0.37,583.002588467822,584.696490094546,585.589674635737,582.116998312976
0.38,580.80232962104,582.326841085092,583.330707172163,579.934613209742
0.39,578.893822871718,580.265883189365,581.369362667729,578.084604314332
0.4,577.274714593619,578.439294870428,579.562152391884,576.476143882899
0.41,576.12711680534,577.075239054469,578.185810823778,575.308403165692
0.42,575.214405124806,575.967715149022,577.067229741401,574.377562849123
0.43,574.460157603263,575.105329615995,576.194892749136,573.674192546086
0.44,573.814141842937,574.394796654396,575.475403474223,573.106773291478
0.45,573.432575661655,573.955164991968,575.027711129812,572.795943965342
0.46,573.254814477726,573.659648492771,574.724940016831,572.616349568808
0.47,573.456446237116,573.720796850657,574.779559222311,572.847250460522
0.48,573.810801613404,573.948717165591,575.00160330008,573.19862848652
0.49,574.255391885698,574.216680665849,575.327113403705,573.604436071502
0.5,574.729852697128,574.557202094335,575.694402063335,574.043992464352
0.51,575.546632844868,575.179885754511,576.303365726611,574.773677861448
0.52,576.591969560381,575.96189717906,577.07302915395,575.696310075303
0.53,577.930062470914,577.062997327725,578.163016105126,576.980724629568
0.54,579.437056223823,578.356697594952,579.446714494613,578.482652166611
0.55,581.057912742805,579.785589976822,580.866605186516,580.098949091315
0.56,582.752121468525,581.30703097914,582.379944667865,581.789054182183
0.57,584.597277276818,582.996695836372,584.008923497033,583.683911378302
0.58,586.537549549136,584.745234183866,585.759823216199,585.715520240472
0.59,588.437665645035,586.424581816292,587.48642159512,587.697839267237
0.6,590.293899080531,588.082123634663,589.137779435608,589.628055340513
0.61,592.112343959288,589.672467795736,590.722558016587,591.463806331001
0.62,593.901109563359,591.205221016162,592.250302214928,593.217425697901
0.63,595.656542705374,592.730243012897,593.770816091786,594.941227226462
0.64,597.390888434836,594.257218711607,595.293734482608,596.647104503816
0.65,598.999808964079,595.679506213173,596.712370407073,598.230403426161
0.66,600.499828067671,597.011555591856,598.041133366366,599.707363083545
0.67,602.080208183122,598.440762954888,599.421310367504,601.313062281852
0.68,603.77218736481,599.996686659399,600.879179330753,603.036579409587
0.69,605.339374053995,601.441423419125,602.235666823344,604.62173231996
0.7,606.805436648596,602.797281077213,603.51210014101,606.159559087964
0.71,608.208582103003,604.059397529125,604.744579246175,607.627292298435
0.72,609.587723892702,605.253457776212,605.970121321558,609.064563068591
0.73,610.913661274198,606.412821769357,607.157818960168,610.442816532498
0.74,612.222295146778,607.571539592422,608.342037064151,611.798534879248
