Time,Motor1_Delayed,Motor2_Delayed,Motor3_Delayed,Motor4_Delayed
0,703,693,694,703
0.01,703,693,694,703
0.02,703,693,694,703
0.03,703,693,694,703
0.04,703,693,694,703
0.05,703,693,694,703
0.06,703,693,694,703
0.07,703,693,694,703
0.08,703,693,694,703
0.09,703,693,694,703
0.1,703,693,694,703
0.11,703,693,694,703
0.12,703,693,694,703
0.13,703,693,694,703
0.14,703,693,694,703
0.15,703,693,694,703
0.16,703,693,694,703
0.17,703,693,694,703
0.18,703,693,694,703
0.19,703,693,694,703
0.2,703,693,694,703
0.21,703,693,694,703
0.22,703,693,694,703
0.23,703,693,694,703
0.24,703,693,694,703
0.25,703,693,694,703
0.26,703,693,694,703
0.27,703,693,694,703
0.28,703,693,694,703
0.29,703,693,694,703
0.3,703,693,694,703
0.31,703,693,694,703
0.32,703,693,694,703
0.33,703,693,694,703
0.34,703,693,694,703
0.35,703,693,694,703
0.36,703,693,694,703
0.37,703,693,694,703
0.38,703,693,694,703
0.39,703,693,694,703
0.4,703,693,694,703
0.41,703,693,694,703
0.42,703,693,694,703
0.43,703,693,694,703
0.44,703,693,694,703
0.45,703,693,694,703
0.46,703,693,694,703
0.47,703,693,694,703
0.48,703,693,694,703
0.49,703,693,694,703
0.5,703,693,694,703
0.51,704,694,695,704
0.52,704,694,695,704
0.53,704,694,695,704
0.54,704,694,695,704
0.55,703,693,694,703
0.56,704,693,694,703
0.57,704,694,694,703
0.58,704,694,694,702
0.59,704,694,694,702
0.6,704,694,694,702
0.61,700,692,692,698
0.62,700,692,691,698
0.63,692,686,686,690
0.64,692,686,686,690
0.65,663,663,663,661
0.66,663,663,663,662
0.67,653,654,655,652
0.68,653,654,654,653
0.69,615,622,623,615
0.7,615,622,622,615
0.71,597,606,606,597
0.72,597,605,606,597
0.73,580,587,588,579
0.74,580,587,587,579
0.75,573,578,579,571
0.76,574,578,579,571
0.77,566,570,571,564
0.78,567,569,571,564
0.79,563,565,566,560
0.8,563,565,566,560
0.81,561,563,564,559
0.82,560,563,563,559
0.83,560,561,562,559
0.84,559,561,562,559
0.85,559,561,562,560
0.86,559,561,562,560
0.87,561,561,563,561
0.88,561,561,563,560
0.89,562,562,564,562
0.9,563,562,563,562
0.91,567,566,567,566
0.92,567,566,567,566
0.93,568,568,569,568
0.94,568,568,569,568
0.95,571,571,572,571
0.96,572,571,572,571
0.97,577,576,577,577
0.98,577,576,577,576
0.99,579,577,579,578
1,579,578,579,578
